Covid-age,Estimated risk relative to a Covid-age of 52 years,Infection fatality rate per 1000 Point estimate,Infection fatality rate per 1000 Lower bound,Infection fatality rate per 1000 Upper bound
20,0.04,0.07,0.04,0.1
21,0.04,0.08,0.04,0.2
22,0.05,0.09,0.05,0.2
23,0.05,0.1,0.05,0.2
24,0.06,0.1,0.06,0.2
25,0.06,0.1,0.06,0.2
26,0.07,0.1,0.07,0.3
27,0.08,0.2,0.08,0.3
28,0.08,0.2,0.08,0.3
29,0.09,0.2,0.09,0.4
30,0.1,0.2,0.1,0.4
31,0.1,0.2,0.1,0.5
32,0.1,0.3,0.1,0.5
33,0.1,0.3,0.1,0.6
34,0.2,0.3,0.2,0.6
35,0.2,0.3,0.2,0.7
36,0.2,0.4,0.2,0.8
37,0.2,0.4,0.2,0.9
38,0.2,0.5,0.2,0.9
39,0.3,0.5,0.3,1
40,0.3,0.6,0.3,1.2
41,0.3,0.6,0.3,1.3
42,0.4,0.7,0.4,1.4
43,0.4,0.8,0.4,1.6
44,0.4,0.9,0.4,1.8
45,0.5,1,0.5,1.9
46,0.5,1.1,0.5,2.2
47,0.6,1.2,0.6,2.4
48,0.7,1.3,0.7,2.7
49,0.7,1.5,0.7,2.9
50,0.8,1.6,0.8,3.3
51,0.9,1.8,0.9,3.6
52,1,2,1,4
53,1.1,2.2,1.1,4.4
54,1.2,2.5,1.2,4.9
55,1.4,2.7,1.4,5.4
56,1.5,3,1.5,6
57,1.7,3.3,1.7,6.7
58,1.9,3.7,1.9,7.4
59,2.1,4.1,2.1,8.2
60,2.3,4.6,2.3,9.1
61,2.5,5.1,2.5,10
62,2.8,5.6,2.8,11
63,3.1,6.2,3.1,12
64,3.4,6.9,3.4,14
65,3.8,7.6,3.8,15
66,4.2,8.4,4.2,17
67,4.7,9.4,4.7,19
68,5.2,10,5.2,21
69,5.8,12,5.8,23
70,6.4,13,6.4,26
71,7.1,14,7.1,28
72,7.8,16,7.8,31
73,8.7,17,8.7,35
74,9.6,19,9.6,38
75,11,21,11,43
76,12,24,12,47
77,13,26,13,52
78,15,29,15,58
79,16,32,16,64
80,18,36,18,71
81,20,40,20,79
82,22,44,22,88
83,24,49,24,97
84,27,54,27,108
85,30,60,30,119
